                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0085,                 2.0089,                 1.3579,                 0.6974,                0.72964,                0.76852,                0.54765,                0.96195,                 1.5356,                 1.4411,             0.00055468,             0.00055468,             0.00055468
                      1,                 1.0943,                 1.3801,                 1.3895,                0.83426,                0.89958,                0.92672,                0.65866,                0.98158,                 1.0204,                 1.3446,              0.0010554,              0.0010554,              0.0010554
                      2,                 1.1118,                 1.1996,                 1.3941,                0.82134,                    0.9,                0.91056,                0.64243,                0.93913,                0.74339,                 1.2624,              0.0015011,              0.0015011,              0.0015011
                      3,                 1.0444,                   1.09,                 1.3555,                0.85814,                   0.86,                0.91893,                0.70136,                0.85806,                0.75357,                 1.2138,              0.0014195,              0.0014195,              0.0014195
                      4,                 1.0154,                 1.0226,                  1.335,                0.99427,                0.83574,                 0.9447,                0.69036,                 0.9047,                 0.6503,                 1.2329,              0.0014195,              0.0014195,              0.0014195
                      5,                0.97406,                0.95711,                 1.3104,                0.92053,                    0.8,                 0.9354,                 0.6698,                0.85203,                0.68442,                   1.24,              0.0013369,              0.0013369,              0.0013369
                      6,                0.94236,                0.90736,                   1.29,                0.92972,                   0.92,                 0.9604,                0.72909,                 0.7695,                0.56474,                 1.1939,              0.0012544,              0.0012544,              0.0012544
                      7,                0.90166,                0.87052,                 1.2654,                0.88482,                   0.94,                0.95139,                0.74455,                0.70305,                0.54594,                 1.1287,              0.0011719,              0.0011719,              0.0011719
                      8,                0.86356,                0.82474,                 1.2337,                0.89614,                0.95775,                0.96931,                0.74289,                0.77363,                0.54077,                 1.1679,              0.0010894,              0.0010894,              0.0010894
                      9,                0.86147,                0.81995,                 1.2421,                0.92322,                   0.96,                0.97358,                0.77791,                0.70147,                0.49985,                 1.1174,              0.0010069,              0.0010069,              0.0010069
                     10,                0.70728,                0.60442,                 1.1604,                0.93718,                0.88226,                 0.9526,                0.74473,                0.69363,                0.53215,                 1.1432,             0.00092435,             0.00092435,             0.00092435
                     11,                0.67499,                0.55987,                 1.1364,                0.93106,                0.92352,                0.97752,                0.78186,                0.65442,                0.47493,                 1.0997,             0.00084184,             0.00084184,             0.00084184
                     12,                0.63387,                0.51877,                 1.1064,                0.89213,                   0.92,                0.95331,                0.76365,                0.69509,                0.49082,                 1.1289,             0.00075932,             0.00075932,             0.00075932
                     13,                0.61672,                0.49356,                 1.0925,                 0.9285,                    0.9,                0.95851,                0.79031,                0.63713,                 0.4384,                 1.0979,              0.0006768,              0.0006768,              0.0006768
                     14,                0.58601,                0.46538,                 1.0763,                0.91471,                0.93584,                0.96267,                0.79329,                0.58458,                0.43494,                 1.0872,             0.00059429,             0.00059429,             0.00059429
                     15,                0.56567,                0.44317,                 1.0626,                0.99138,                   0.92,                 0.9783,                0.80094,                0.63965,                0.42932,                 1.1106,             0.00051177,             0.00051177,             0.00051177
                     16,                 0.5456,                0.42983,                 1.0446,                 0.9474,                   0.92,                0.96615,                 0.7967,                0.62113,                0.42602,                  1.102,             0.00042925,             0.00042925,             0.00042925
                     17,                  0.519,                0.39683,                 1.0191,                0.95215,                0.91998,                0.97298,                0.80468,                0.62723,                0.41708,                 1.1061,             0.00034674,             0.00034674,             0.00034674
                     18,                0.51382,                0.39207,                 1.0271,                0.92661,                    0.9,                0.95716,                0.80556,                0.57628,                0.42532,                 1.0753,             0.00026422,             0.00026422,             0.00026422
                     19,                0.49582,                0.37434,                 1.0123,                  0.974,                0.88062,                 0.9716,                0.81999,                0.56947,                 0.4186,                 1.0611,              0.0001817,              0.0001817,              0.0001817
